A_LANGUAGE	A_ANIMATE	A_BLACK	A_BLUE	A_CRESCENT	A_GOLD	A_GREEN	A_ICON	A_LANMASS	A_ORANGE	A_RED	A_RELIGION	A_TEXT	A_TRIANGLE	A_WHITE	A_ZONE	AREA	BARS	CIRCLES	COLOURS	CROSSES	MAINHUE	POPULATION	QUARTERS	SALTIRES	STRIPES	SUNSTARS	TOPLEFT	BOTHRIGHT	NAME
English	no	yes	no	no	yes	yes	yes	Asia	no	no	Muslim	no	no	yes	NE	648	0	0	5	0	green	16	0	0	3	1	black	green	Afghanistan
Other-Indo-European	yes	yes	no	no	yes	no	no	Europe	no	no	Marxist	no	no	no	NE	29	0	0	3	0	red	3	0	0	0	1	red	red	Albania
Arabic	no	no	no	yes	no	yes	no	Africa	no	no	Muslim	no	no	yes	NE	2388	2	0	3	0	green	20	0	0	0	1	green	white	Algeria
English	yes	no	yes	no	yes	no	yes	Oceania	yes	no	Christian	no	yes	yes	SW	0	0	0	5	0	blue	0	0	0	0	0	blue	red	American-Samoa
Other-Indo-European	no	no	yes	no	yes	no	no	Europe	no	no	Catholic	no	no	no	NE	0	3	0	3	0	gold	0	0	0	0	0	blue	red	Andorra
English	no	yes	no	no	yes	no	yes	Africa	no	no	Ethnic	no	no	no	SE	1247	0	0	3	0	red	7	0	0	2	1	red	black	Angola
English	yes	no	yes	no	no	no	no	N.America	yes	yes	Christian	no	no	yes	NW	0	0	0	3	0	white	0	0	0	1	0	white	blue	Anguilla
English	no	yes	yes	no	yes	no	no	N.America	no	no	Christian	no	yes	yes	NW	0	0	0	5	0	red	0	0	0	1	1	black	red	Antigua-Barbuda
Spanish	no	no	yes	no	no	no	no	S.America	no	yes	Catholic	no	no	yes	SW	2777	0	0	2	0	blue	28	0	0	3	0	blue	blue	Argentina
Spanish	no	no	yes	no	yes	no	no	S.America	no	yes	Catholic	no	no	yes	SW	2777	0	0	3	0	blue	28	0	0	3	1	blue	blue	Argentine
English	no	no	yes	no	no	no	no	Oceania	no	no	Christian	no	no	yes	SE	7690	0	0	3	1	blue	15	1	1	0	6	white	blue	Australia
German	no	no	no	no	no	no	no	Europe	no	no	Catholic	no	no	yes	NE	84	0	0	2	0	red	8	0	0	3	0	red	red	Austria
English	no	yes	yes	no	yes	no	no	N.America	no	yes	Christian	no	yes	no	NW	19	0	0	3	0	blue	0	0	0	3	0	blue	blue	Bahamas
Arabic	no	no	no	no	no	no	no	Asia	no	no	Muslim	no	no	yes	NE	1	0	0	2	0	red	0	0	0	0	0	white	red	Bahrain
Other-Indo-European	no	no	no	no	no	yes	no	Asia	no	no	Muslim	no	no	no	NE	143	0	1	2	0	green	90	0	0	0	0	green	green	Bangladesh
English	no	yes	yes	no	yes	no	yes	N.America	no	yes	Christian	no	no	no	NW	0	3	0	3	0	blue	0	0	0	0	0	blue	blue	Barbados
Other-Indo-European	no	yes	no	no	yes	no	no	Europe	no	no	Catholic	no	no	no	NE	31	3	0	3	0	gold	10	0	0	0	0	black	red	Belgium
English	yes	yes	yes	no	yes	yes	yes	N.America	yes	no	Christian	yes	no	yes	NW	23	0	1	8	0	blue	0	0	0	2	0	red	red	Belize
French	no	no	no	no	no	yes	no	Africa	no	no	Ethnic	no	no	no	NE	113	0	0	2	0	green	3	0	0	0	1	green	green	Benin
English	yes	yes	yes	no	yes	yes	yes	N.America	no	no	Christian	no	no	yes	NW	0	0	1	6	1	red	0	1	1	0	0	white	red	Bermuda
English	yes	yes	no	no	no	no	no	Asia	yes	no	Buddhist	no	no	yes	NE	47	0	4	4	0	orange	1	0	0	0	0	orange	red	Bhutan
Spanish	no	no	no	no	yes	yes	no	S.America	no	no	Catholic	no	no	no	SW	1099	0	0	3	0	red	6	0	0	3	0	red	green	Bolivia
English	no	yes	yes	no	no	no	no	Africa	no	yes	Ethnic	no	no	yes	SE	600	0	0	3	0	blue	1	0	0	5	0	blue	blue	Botswana
Other-Indo-European	no	no	yes	no	yes	yes	no	S.America	no	yes	Catholic	yes	no	yes	SW	8512	0	1	4	0	green	119	0	0	0	22	green	green	Brazil
English	yes	no	yes	no	yes	yes	yes	N.America	yes	no	Christian	yes	no	yes	NW	0	0	0	6	1	blue	0	1	1	0	0	white	blue	British-Virgin-Isles
English	yes	yes	no	no	yes	no	yes	Asia	no	no	Muslim	yes	yes	yes	NE	6	0	0	4	0	gold	0	0	0	0	0	white	gold	Brunei
Slavic	yes	no	yes	no	yes	yes	yes	Europe	no	no	Marxist	no	no	yes	NE	111	0	0	5	0	red	9	0	0	3	1	white	red	Bulgaria
French	no	no	no	no	yes	yes	no	Africa	no	no	Ethnic	no	no	no	NW	274	0	0	3	0	red	7	0	0	2	1	red	green	Burkina
English	yes	no	yes	no	no	no	yes	Asia	no	no	Buddhist	no	no	yes	NE	678	0	0	3	0	red	35	1	0	0	14	blue	red	Burma
English	no	no	no	no	no	yes	no	Africa	no	no	Ethnic	no	no	yes	SE	28	0	1	3	0	red	4	0	1	0	3	white	white	Burundi
French	no	no	no	no	yes	yes	no	Africa	no	no	Christian	no	no	no	NE	474	3	0	3	0	gold	8	0	0	0	1	green	gold	Cameroon
English	yes	no	no	no	no	no	no	N.America	no	no	Christian	no	no	yes	NW	9976	2	0	2	0	red	24	0	0	0	0	red	red	Canada
Other-Indo-European	yes	yes	no	no	yes	yes	no	Africa	yes	no	Catholic	no	no	no	NW	4	1	0	5	0	gold	0	0	0	2	1	red	green	Cape-Verde-Islands
English	yes	no	yes	no	yes	yes	yes	N.America	yes	no	Christian	yes	no	yes	NW	0	0	1	6	1	blue	0	1	1	0	4	white	blue	Cayman-Islands
